Test Number,Generator,Value (U),Oracles vs Mariam,Oracles vs Josias,Oracles Runtime(s),Mariam Runtime(s),Josias Runtime(s),Oracles Memory,Mariam,Josias
1,func,26,1,1,0.021689176559448242,0.021201372146606445,0.0349576473236084,9.375,9.37890625,9.37890625
2,reflex,180,1,1,0.016179323196411133,0.006415128707885742,0.034487009048461914,9.3984375,9.3984375,9.3984375
3,onetoone,148,1,1,0.007219791412353516,0.005384683609008789,0.032149553298950195,9.3984375,9.3984375,9.3984375
4,onto,56,1,1,0.0071222782135009766,0.00577092170715332,0.034979820251464844,9.3984375,9.3984375,9.3984375
5,func,184,1,1,0.006607770919799805,0.0060536861419677734,0.032067298889160156,9.3984375,9.3984375,9.3984375
6,reflex,190,1,1,0.0061833858489990234,0.005397319793701172,0.03252387046813965,9.3984375,9.3984375,9.3984375
7,onetoone,152,1,1,0.0061457157135009766,0.005261421203613281,0.03314495086669922,9.3984375,9.3984375,9.3984375
8,onto,185,1,1,0.005846261978149414,0.005743741989135742,0.03208661079406738,9.3984375,9.3984375,9.3984375
9,func,150,1,1,0.0057408809661865234,0.005432844161987305,0.03145885467529297,9.3984375,9.3984375,9.3984375
10,reflex,164,1,1,0.005503416061401367,0.007754802703857422,0.03214216232299805,9.3984375,9.3984375,9.3984375
11,onetoone,36,1,1,0.005589723587036133,0.0052983760833740234,0.03193068504333496,9.3984375,9.3984375,9.3984375
12,onto,158,1,1,0.006169319152832031,0.0053975582122802734,0.04221034049987793,9.3984375,9.3984375,9.3984375
13,func,23,1,1,0.007325887680053711,0.0059163570404052734,0.031919002532958984,9.3984375,9.3984375,9.3984375
14,reflex,13,1,1,0.0060884952545166016,0.00525212287902832,0.03455805778503418,9.3984375,9.3984375,9.3984375
15,onetoone,174,1,1,0.006531715393066406,0.005361080169677734,0.03276205062866211,9.40625,9.40625,9.40625
16,onto,98,1,1,0.006268739700317383,0.005469322204589844,0.03161978721618652,9.40625,9.40625,9.40625
17,func,122,1,1,0.008910894393920898,0.005290985107421875,0.03241419792175293,9.40625,9.40625,9.40625
18,reflex,144,1,1,0.006302356719970703,0.005313873291015625,0.031972408294677734,9.40625,9.40625,9.40625
19,onetoone,142,1,1,0.005662679672241211,0.005503177642822266,0.033319711685180664,9.40625,9.40625,9.40625
20,onto,110,0,1,0.006442546844482422,0.005754232406616211,0.0316770076751709,9.40625,9.40625,9.40625
21,func,124,1,1,0.00554656982421875,0.005433559417724609,0.03188133239746094,9.40625,9.40625,9.40625
22,reflex,144,1,1,0.01166081428527832,0.005429267883300781,0.03314566612243652,9.40625,9.40625,9.40625
23,onetoone,84,1,1,0.0062253475189208984,0.005889177322387695,0.0311276912689209,9.40625,9.40625,9.40625
24,onto,7,1,1,0.005907773971557617,0.005864143371582031,0.03487110137939453,9.40625,9.40625,9.40625
25,func,52,1,1,0.0059757232666015625,0.00512385368347168,0.03146505355834961,9.40625,9.40625,9.40625
26,reflex,120,1,1,0.0053484439849853516,0.006021738052368164,0.031291961669921875,9.40625,9.40625,9.40625
27,onetoone,131,1,1,0.005941867828369141,0.0067560672760009766,0.03170418739318848,9.40625,9.40625,9.40625
28,onto,98,1,1,0.005471229553222656,0.004869699478149414,0.031110525131225586,9.40625,9.40625,9.40625
29,func,148,1,1,0.005418539047241211,0.005324363708496094,0.039551496505737305,9.40625,9.4140625,9.4140625
30,reflex,134,1,1,0.006407737731933594,0.005471706390380859,0.0316004753112793,9.4140625,9.4140625,9.4140625
31,onetoone,13,1,1,0.005631208419799805,0.005287647247314453,0.03159141540527344,9.4140625,9.4140625,9.4140625
32,onto,132,1,1,0.006659030914306641,0.0051081180572509766,0.03133702278137207,9.4140625,9.4140625,9.4140625
33,func,140,1,1,0.005524635314941406,0.0053403377532958984,0.03080272674560547,9.4140625,9.4140625,9.4140625
34,reflex,26,1,1,0.0053195953369140625,0.005536079406738281,0.03368043899536133,9.4140625,9.4140625,9.4140625
35,onetoone,166,1,1,0.006350517272949219,0.005349159240722656,0.03235197067260742,9.4140625,9.4140625,9.4140625
36,onto,32,1,1,0.0056760311126708984,0.014600038528442383,0.03448176383972168,9.4140625,9.4140625,9.4140625
37,func,5,1,1,0.005572795867919922,0.00595855712890625,0.03131508827209473,9.4140625,9.4140625,9.4140625
38,reflex,55,1,1,0.0054662227630615234,0.004967689514160156,0.031245946884155273,9.4140625,9.4140625,9.4140625
39,onetoone,166,1,1,0.0060498714447021484,0.005785465240478516,0.03739118576049805,9.4140625,9.4140625,9.4140625
40,onto,170,1,1,0.006762266159057617,0.006440401077270508,0.03182721138000488,9.4140625,9.4140625,9.4140625
41,func,140,1,1,0.0052776336669921875,0.005053997039794922,0.030704736709594727,9.4140625,9.4140625,9.4140625
42,reflex,170,1,1,0.00523686408996582,0.0050525665283203125,0.03220105171203613,9.4140625,9.4140625,9.4140625
43,onetoone,182,1,1,0.005238533020019531,0.005933284759521484,0.030684709548950195,9.4140625,9.4140625,9.4140625
44,onto,51,1,1,0.005153656005859375,0.0047380924224853516,0.030340909957885742,9.4140625,9.4140625,9.4140625
45,func,36,1,1,0.0053594112396240234,0.004992008209228516,0.03272056579589844,9.4140625,9.4140625,9.4140625
46,reflex,183,1,1,0.0056154727935791016,0.005879402160644531,0.030573129653930664,9.4140625,9.4140625,9.4140625
47,onetoone,26,1,1,0.006176471710205078,0.005696535110473633,0.039148807525634766,9.4140625,9.4140625,9.4140625
48,onto,164,1,1,0.0060634613037109375,0.006003856658935547,0.031188249588012695,9.4140625,9.4140625,9.4140625
49,func,127,1,1,0.0052700042724609375,0.005208730697631836,0.030684709548950195,9.4140625,9.4140625,9.4140625
50,reflex,6,1,1,0.014018535614013672,0.005208253860473633,0.03197288513183594,9.4140625,9.4140625,9.4140625
51,onetoone,15,1,1,0.0059375762939453125,0.005004167556762695,0.032180070877075195,9.4140625,9.4140625,9.4140625
52,onto,71,1,1,0.005818367004394531,0.012725353240966797,0.03305196762084961,9.4140625,9.4140625,9.4140625
53,func,14,1,1,0.0052068233489990234,0.005844831466674805,0.03020954132080078,9.41796875,9.41796875,9.41796875
54,reflex,131,1,1,0.005987405776977539,0.0051310062408447266,0.03148603439331055,9.41796875,9.421875,9.421875
55,onetoone,53,1,1,0.005517482757568359,0.0051801204681396484,0.030577659606933594,9.421875,9.421875,9.421875
56,onto,66,1,1,0.0053899288177490234,0.0054683685302734375,0.031036853790283203,9.421875,9.421875,9.421875
57,func,81,1,1,0.006119251251220703,0.005318880081176758,0.03203558921813965,9.42578125,9.42578125,9.43359375
58,reflex,56,1,1,0.0053920745849609375,0.005013704299926758,0.03081989288330078,9.43359375,9.43359375,9.43359375
59,onetoone,144,1,1,0.005329132080078125,0.006014585494995117,0.03903508186340332,9.4375,9.4375,9.4375
60,onto,126,0,1,0.006597280502319336,0.006136894226074219,0.031650543212890625,9.4375,9.4375,9.4375
61,func,122,1,1,0.005254983901977539,0.00534820556640625,0.030652523040771484,9.4375,9.4375,9.4375
62,reflex,2,1,1,0.00534510612487793,0.004904985427856445,0.03364706039428711,9.4375,9.4375,9.4375
63,onetoone,57,1,1,0.005331754684448242,0.005348920822143555,0.031224966049194336,9.4375,9.44140625,9.44140625
64,onto,200,0,1,0.005696535110473633,0.005398988723754883,0.030787944793701172,9.44140625,9.44140625,9.44140625
65,func,108,1,1,0.0054361820220947266,0.010405778884887695,0.03154802322387695,9.44140625,9.44140625,9.44140625
66,reflex,173,1,1,0.005163908004760742,0.005953311920166016,0.031041860580444336,9.44140625,9.44140625,9.44140625
67,onetoone,47,1,1,0.0054056644439697266,0.005092144012451172,0.03232312202453613,9.44140625,9.44140625,9.44140625
68,onto,95,1,1,0.006164073944091797,0.0059947967529296875,0.031026363372802734,9.44140625,9.44140625,9.44140625
69,func,97,1,1,0.005458354949951172,0.005860328674316406,0.03098011016845703,9.44140625,9.44140625,9.44140625
70,reflex,76,1,1,0.005860805511474609,0.0071048736572265625,0.030941247940063477,9.44140625,9.44140625,9.44140625
71,onetoone,141,1,1,0.005809783935546875,0.0056116580963134766,0.03142404556274414,9.44140625,9.44140625,9.44140625
72,onto,40,1,1,0.006318092346191406,0.00520634651184082,0.03275895118713379,9.44140625,9.44140625,9.44140625
73,func,126,1,1,0.0056569576263427734,0.00525665283203125,0.03163456916809082,9.44140625,9.44140625,9.44140625
74,reflex,71,1,1,0.00534510612487793,0.006025552749633789,0.030911684036254883,9.44140625,9.44140625,9.44140625
75,onetoone,52,1,1,0.005456686019897461,0.010567426681518555,0.030652761459350586,9.453125,9.453125,9.453125
76,onto,48,1,1,0.005663633346557617,0.005124092102050781,0.031133413314819336,9.453125,9.453125,9.453125
